m/z,I,S/N
351.08741,3.4452,26.92
351.10854,45.7881,359.03
351.1238,2.1011,16.38
351.14492,29.0706,227.91
351.18131,5.1271,40.11
352.03912,2.807,21.92
352.04626,1.4997,11.66
352.0674,3.996,31.24
352.07551,6.4281,50.32
352.10379,3.905,30.53
352.11189,9.5903,75.12
352.14828,6.06,47.43
352.18467,1.321,10.26
352.84889,2.2747,17.74
352.85822,1.3079,10.16
352.94895,1.3114,10.19
353.01505,3.997,31.25
353.0303,4.3117,33.72
353.03367,1.3445,10.45
353.05143,31.3872,246.08
353.06669,6.8569,53.68
353.07009,1.2821,9.96
353.07975,1.3159,10.22
353.08594,1.4204,11.04
353.08642,1.5649,12.17
353.08782,51.7724,405.96
353.09905,1.375,10.69
353.10308,4.645,36.33
353.12421,52.6961,413.21
353.13947,3.0152,23.55
353.16059,16.7442,131.23
353.17585,1.4953,11.63
353.19696,1.5026,9.82
354.03365,1.2925,8.42
354.04669,2.5557,16.82
354.05478,5.1069,33.78
354.06193,2.4465,16.09
354.07005,1.9938,13.08
354.08306,5.3003,35.07
354.09117,8.7105,57.74
354.09831,1.4276,9.32
354.10642,1.6337,10.69
354.11945,2.4507,16.12
354.12756,9.4896,62.92
354.16394,3.3355,22
355.00957,3.0488,20.1
355.0307,10.6523,70.65
355.04595,7.9459,52.65
355.04933,1.8004,11.8
355.0566,1.3966,9.11
355.059,1.6004,10.47
355.06708,39.9032,265.12
355.08234,8.3699,55.47
355.0857,1.7194,11.26
355.09452,1.3898,9.07
355.10167,1.6638,10.89
355.10347,50.7782,337.42
355.11872,6.3853,42.28
355.13985,26.2356,174.25
355.15511,4.8471,32.05
355.17624,3.7658,24.86
355.1915,1.6656,10.9
356.0412,1.5516,10.14
356.04931,1.8041,11.82
356.06235,1.9915,13.07
356.07043,6.1033,40.4
356.0776,2.6104,17.18
356.08569,1.7063,11.17
356.09871,2.8144,18.54
356.10682,8.0703,53.48
356.11397,1.3223,8.62
356.12209,1.5014,9.81
356.14322,4.2407,28.02
357.02522,5.4521,36.07
357.02859,1.2763,8.31
357.03826,1.4875,9.72
357.04634,15.1817,100.76
357.0616,10.4452,69.27
357.06498,1.8792,12.32
357.07467,2.042,13.4
357.08273,29.3224,194.78
357.09799,9.8617,65.39
357.10136,1.8406,12.06
357.11104,1.9069,12.5
357.11912,21.6517,143.78
357.13437,7.5128,49.78
357.14111,7.0483,46.69
357.1555,5.4652,36.16
357.17077,3.2733,21.59
358.04969,2.404,15.81
358.05685,2.6616,17.52
358.06495,2.2587,14.84
358.08609,4.9406,32.67
358.09324,2.2096,14.52
358.10134,2.1899,14.39
358.11438,1.3493,8.8
358.12247,3.6188,23.89
358.13772,1.7955,11.76
358.81498,1.4499,9.47
359.00448,2.3361,15.36
359.0256,2.4583,16.17
359.04086,12.2,80.94
359.04424,1.7278,11.31
359.05393,1.7694,11.59
359.05612,1.619,10.59
359.06199,10.1851,67.54
359.07725,16.5459,109.83
359.08063,3.327,21.95
359.08694,1.3474,8.78
359.08849,1.5906,10.4
359.0903,2.6541,17.47
359.09249,1.3062,8.51
359.09838,13.3434,88.54
359.11363,15.0446,99.85
359.13477,5.2668,34.84
359.15002,9.8704,65.45
359.1864,3.0005,19.78
360.03612,2.2712,14.93
360.04422,2.1862,14.36
360.06535,1.8766,12.3
360.07249,3.2279,21.29
360.0806,3.3212,21.91
360.10173,2.3037,15.14
360.10889,2.1468,14.1
360.11699,3.1531,20.79
360.15337,2.0632,13.54
361.02013,6.5703,43.51
361.03318,1.4884,9.72
361.03538,1.7395,11.39
361.05651,21.0835,140
361.05988,2.412,15.86
361.06774,1.7528,11.48
361.06957,3.0474,20.09
361.07176,1.5409,10.07
361.07764,3.4193,22.56
361.08736,1.573,10.28
361.09049,1.2897,8.4
361.0929,23.891,158.66
361.09627,3.6035,23.78
361.10413,1.5641,10.23
361.10596,2.2229,14.61
361.11401,2.9513,19.45
361.12928,21.9154,145.53
361.16566,9.7078,64.37
361.20204,1.6798,10.99
362.05177,3.6369,24.01
362.05986,3.7972,25.07
362.08814,3.8785,25.61
362.09625,4.7972,31.72
362.12452,2.2361,14.69
362.13263,4.6086,30.47
362.16903,2.1742,14.28
362.94163,1.5028,9.82
362.99939,1.2682,8.26
363.03337,1.4253,9.3
363.03578,15.475,102.71
363.05104,2.4241,15.94
363.07215,28.0584,186.37
363.07553,1.9997,13.12
363.08339,2.0852,13.69
363.08522,1.5616,10.21
363.08742,2.5324,16.66
363.10855,33.6545,223.58
363.11192,1.2995,8.47
363.11978,1.5774,10.31
363.14493,25.4176,168.81
363.1742,1.2769,8.32
363.18131,6.2813,41.59
363.27945,1.2587,8.2
363.88729,1.2945,8.43
363.9209,1.1861,7.71
364.03102,2.0647,13.55
364.03912,3.2024,21.12
364.06741,4.4867,29.66
364.07552,5.6321,37.27
364.10379,3.8123,25.17
364.1119,6.4636,42.8
364.14019,1.2395,8.07
364.14829,4.8637,32.16
364.18467,1.3575,8.85
364.92026,2.81,18.51
364.92054,6.4134,42.47
364.9209,6.5233,43.2
364.92139,6.6361,43.95
365.01504,5.0567,33.45
365.03029,2.6763,17.62
365.05142,25.4029,168.72
365.06267,1.5568,10.18
365.06668,3.9166,25.87
365.08541,1.1808,7.68
365.08781,39.0896,259.71
365.09906,1.6041,10.49
365.10307,2.3226,15.27
365.12419,43.4752,288.87
365.12755,1.272,8.28
365.13944,1.5481,10.12
365.16058,19.7063,130.84
365.19697,2.6356,17.35
365.33401,2.0879,13.71
366.04667,2.3746,15.61
366.05477,4.4739,29.57
366.06193,1.4093,9.2
366.07001,1.264,8.23
366.08306,4.5991,30.4
366.09116,7.1827,47.58
366.11944,2.9639,19.53
366.12755,8.2759,54.85
366.16393,4.2972,28.4
366.87385,1.2052,7.84
