m/z,I,S/N,Res.
354.10798,0.4088,6.34,1174535
354.11942,5.4384,88.89,2262438
354.12752,3.5329,57.61,2204851
354.13065,1.6099,26.05,2331614
354.13876,1.1557,18.6,2315266
354.1558,2.0155,32.71,2198921
354.16391,1.9809,32.14,2240326
354.84682,0.5079,7.97,2259133
355.06705,2.6302,42.8,2315605
355.07829,0.9045,14.48,2372807
355.08638,0.6274,9.93,1787627
355.10344,11.5886,189.83,2252484
355.11467,4.6566,76.06,2259512
355.11869,0.7136,11.34,2409735
355.12278,0.809,12.91,2451549
355.12838,0.4682,7.32,1639952
355.12992,0.4221,6.56,2280068
355.13175,0.4385,6.83,2149003
355.13983,10.6452,174.35,2237661
355.15106,1.2391,19.97,2085569
355.15508,1.1901,19.16,2293339
355.17621,2.4599,40,2252686
355.19146,0.4273,6.64,1634688
356.06229,0.5017,7.87,1776505
356.07044,0.6076,9.6,2013664
356.09869,2.6399,42.96,2158966
356.1068,1.8897,30.65,2232583
356.10993,0.5023,7.88,1815560
356.11395,0.4012,6.22,1526917
