m/z,I,S/N,Res.
333.20714,0.649,10.1,2043452
334.09325,1.7062,27.03,2332703
334.10136,0.686,10.7,2151168
334.10448,2.4602,39.11,2423244
334.11259,0.7372,11.52,2289398
334.12963,2.2413,35.6,2467571
334.13774,1.2678,20.01,2331244
334.14086,2.5199,40.06,2416912
334.16603,0.9893,15.55,2209884
334.17413,0.7275,11.36,2186371
334.76966,1.376,21.75,2476827
334.77055,4.5444,72.48,2439709
335.07726,1.7869,28.33,2200940
335.08849,3.8561,61.46,2378148
335.11364,7.3112,116.79,2348959
335.12488,7.175,114.61,2342587
335.13297,0.5072,7.83,2468239
335.15003,8.9209,142.56,2341617
335.16127,1.5595,24.68,2279202
335.18642,2.3119,36.73,2441941
335.18981,0.5388,8.34,1858930
336.07252,1.2421,19.6,2406012
336.08374,0.9411,14.78,1869635
336.09185,0.7018,10.95,2410468
336.10889,3.3819,53.87,2317715
336.117,1.3769,21.76,2443323
336.12013,3.6512,58.18,2324816
336.12823,1.4891,23.56,2208208
336.14528,2.2608,35.92,2287995
336.15338,1.8391,29.16,2096278
336.15652,0.9863,15.51,2123854
336.18977,0.5417,8.39,2248739
336.7676,2.7313,43.45,2269514
336.76851,2.2011,34.96,2485150
337.05653,0.675,10.52,1882976
337.06777,0.9272,14.56,2301165
337.09291,5.0893,81.21,2308264
337.10414,8.7188,139.33,2335545
337.11225,0.4814,7.42,2550212
337.11537,0.5317,8.23,1750089
337.12348,0.5302,8.2,2406524
337.1293,11.0019,175.89,2316492
337.14053,4.6253,73.78,2389792
337.16568,6.1876,98.8,2274467
337.20208,0.6768,10.55,1832549
337.20544,1.2572,19.84,2189218
338.08816,3.1823,50.67,2400339
338.09626,0.9875,15.52,2287410
338.09939,1.6422,26.01,2256550
338.1075,1.7209,27.27,2180830
338.12455,3.8264,60.99,2338421
338.13265,2.4285,38.6,2203674
338.13578,1.7526,27.78,2366150
338.14389,1.0626,16.73,2205044
338.16092,1.0941,17.23,2199328
338.16904,1.2603,19.89,2389555
338.76465,0.5438,8.42,2155867
338.76556,1.579,25,2258250
338.85189,0.461,7.09,1601846
338.88732,1.5048,23.81,2272357
339.07217,2.5661,40.8,2332419
339.0834,2.6373,41.94,2296188
339.09151,0.6201,9.64,2383528
339.10856,10.0469,160.6,2344159
339.11979,7.3227,116.97,2287613
339.12382,0.4572,7.03,2581238
339.1279,0.6746,10.51,2157645
339.13915,0.464,7.14,2270757
339.14494,9.1538,146.29,2298941
339.15618,1.4158,22.38,2242762
339.1602,7.0336,112.34,2316900
339.16358,0.8209,12.86,1832912
339.18133,2.1124,33.54,2283787
339.19996,21.4555,343.28,2259719
340.03891,0.7862,12.3,1728387
340.03924,0.583,9.05,2004691
340.06742,1.09,17.17,2116295
340.07552,0.5207,8.05,1832265
340.08674,0.5943,9.23,2254402
340.10381,3.6545,58.23,2263561
340.11191,1.7703,28.06,2190144
340.11504,1.4137,22.35,2122323
340.12314,1.5103,23.9,2149850
340.14019,2.2918,36.41,2247012
340.1483,1.8037,28.6,2178893
340.16355,1.4965,23.68,2272137
340.20331,4.6207,73.7,2253365
340.82213,0.6937,10.82,1731855
340.88527,2.4544,39.01,2415139
341.05146,0.7201,11.24,2110868
341.08782,4.5482,72.54,2281956
341.09098,0.497,7.67,2131562
341.09906,2.4134,38.36,2299777
341.10307,0.5946,9.23,2137710
341.10716,0.7409,11.58,2383154
341.11431,0.7509,11.74,1910749
341.1242,7.8738,125.8,2309358
341.13544,2.1467,34.09,2240044
341.13946,1.2449,19.65,2057889
341.14354,0.5505,8.53,2042436
341.16059,3.2078,51.08,2252342
341.17585,0.933,14.65,2220875
341.17922,0.866,13.58,2350171
341.19576,0.9711,15.26,2449869
341.20665,0.517,7.99,1791730
342.08307,0.9662,15.18,2354646
342.09118,0.5676,8.8,2336477
342.10958,0.6396,9.95,2105059
342.11945,1.4692,23.24,2258821
342.12755,1.2161,19.18,2024911
342.14594,0.6051,9.4,1883346
342.15584,0.4822,7.43,1980625
342.16395,0.6031,9.37,2321839
342.2286,0.6196,9.63,1924340
342.76106,1.5826,25.05,2185323
342.80139,0.4648,7.15,2158418
342.82009,0.8214,12.86,2220887
342.83779,0.8248,12.92,2077916
342.88323,0.9476,14.89,2515080
